"","probability_of_goal","is_goal","matchId","lastName","eventSec","angle","x","y","is_through","is_counter","preceding_pass","rank"
"2859",0.36309608549378,0,2499932,"Pogba",1168.371979,60.7006918819831,95,54,0,0,"Cross",225
"3335",0.36309608549378,0,2499967,"Crouch",1138.895432,60.7006918819831,95,54,0,0,"Ground loose ball duel",226
"3570",0.36309608549378,0,2499985,"Pr\u00f6pper",647.411734,60.7006918819831,95,46,0,0,"Cross",227
"4066",0.36309608549378,1,2500023,"Salah Ghaly",2523.433451,60.7006918819831,95,54,0,0,"Cross",228
"4336",0.36309608549378,1,2500042,"Azpilicueta Tanco",2137.005038,60.7006918819831,95,54,0,0,"Ground attacking duel",229
"4756",0.36309608549378,1,2500078,"de Jesus",424.948827,60.7006918819831,95,46,0,0,"Ground attacking duel",230
"140",0.360816864524981,0,2499728,"Yacob",2384.886225,60.4730686885245,99,56,0,0,"Air duel",231
"1569",0.360675722668204,1,2499836,"Lukaku Menama",1501.258563,53.8477709960862,94,54,0,0,"Ground attacking duel",232
"2576",0.360675722668204,1,2499912,"Ince",554.295608,53.8477709960862,94,54,0,0,"Simple pass",233
"3587",0.360675722668204,0,2499986,"Ayew",1962.855717,53.8477709960862,94,46,0,0,"Air duel",234
"4367",0.360675722668204,0,2500045,"Mota Veiga de Carvalho e Silva",1272.434663,53.8477709960862,94,54,1,0,"Smart pass",235
"4781",0.360675722668204,0,2500080,"Wilshere",44.4625860000001,53.8477709960862,94,46,0,0,"Simple pass",236
"1443",0.36036963703387,1,2499828,"Salah Ghaly",1257.869598,32.7251422525623,89,55,0,1,"Simple pass",237
"159",0.35917885252658,0,2499729,"King",2160.274171,60.3090958358323,94,50,0,0,"Air duel",238
"1072",0.35917885252658,0,2499798,"Pereyra",1106.934203,60.3090958358323,94,50,0,0,"Cross",239
"1846",0.35917885252658,0,2499857,"van Dijk",1502.171994,60.3090958358323,94,50,0,0,"Air duel",240
"2648",0.35917885252658,0,2499916,"Long",1478.776246,60.3090958358323,94,50,0,0,"Air duel",241
"3118",0.35917885252658,0,2499951,"Mee",1675.773337,60.3090958358323,94,50,0,0,"Air duel",242
"3546",0.35917885252658,0,2499983,"Martial",1882.700425,60.3090958358323,94,50,0,0,"Air duel",243
"4011",0.35917885252658,0,2500018,"Arnautovi\u0107",2115.09818,60.3090958358323,94,50,0,0,"Air duel",244
"1683",0.358690805349329,1,2499845,"Austin",773.844394,60.2601765931853,97,44,0,0,"Cross",245
